,tweet_id,retweets,favorites,timestamp,source,text,hashtags,expanded_urls,jpg_url
1505,789628658055020548,1996,8197,2016-10-22 00:45:17 +0000,Twitter for iPhone,"This is Eli, He can fly",,https://twitter.com/dog_rates/status/789628658055020548/photo/1,https://pbs.twimg.com/media/CvVTEnPXYAAWLyL.jpg
1506,789986466051088384,2603,10082,2016-10-23 00:27:05 +0000,Twitter for iPhone,"This is Happy, He's a bathtub reviewer, Seems to be pleased with this one",,https://twitter.com/dog_rates/status/789986466051088384/photo/1,https://pbs.twimg.com/media/CvaYgDOWgAEfjls.jpg
1507,790277117346975746,3601,13678,2016-10-23 19:42:02 +0000,Twitter for iPhone,"This is Bruce, He never backs down from a challenge",,https://twitter.com/dog_rates/status/790277117346975746/photo/1,https://pbs.twimg.com/media/Cveg1-NXgAASaaT.jpg
1508,790337589677002753,2094,8519,2016-10-23 23:42:19 +0000,Twitter for iPhone,"Meet Maggie, She can hear your cells divide",,https://twitter.com/dog_rates/status/790337589677002753/photo/1,https://pbs.twimg.com/media/CvfX2AnWYAAQTay.jpg
1509,790581949425475584,8039,22528,2016-10-24 15:53:19 +0000,Twitter for iPhone,"This is Duke, He sneaks into the fridge sometimes, It's his safe place",,"https://twitter.com/dog_rates/status/790581949425475584/photo/1,https://twitter.com/dog_rates/status/790581949425475584/photo/1",https://pbs.twimg.com/media/Cvi2FiKWgAAif1u.jpg
1510,790698755171364864,2136,8928,2016-10-24 23:37:28 +0000,Twitter for iPhone,"This is Mosby, He appears to be rather h*ckin snuggable af",,https://twitter.com/dog_rates/status/790698755171364864/photo/1,https://pbs.twimg.com/media/CvkgUjbUsAEvo7l.jpg
1511,790946055508652032,5270,18086,2016-10-25 16:00:09 +0000,Twitter for iPhone,"This is Betty, She's assisting with the dishes, Such a good puppo",,https://twitter.com/dog_rates/status/790946055508652032/photo/1,https://pbs.twimg.com/media/CvoBPWRWgAA4het.jpg
1512,790987426131050500,2396,10783,2016-10-25 18:44:32 +0000,Twitter for iPhone,"This is Misty, She has a cowboy hat on her nose",,https://twitter.com/dog_rates/status/790987426131050500/photo/1,https://pbs.twimg.com/media/Cvom3ZJXEAE29TD.jpg
1513,791312159183634433,2847,9568,2016-10-26 16:14:55 +0000,Twitter for iPhone,"This is Mabel, She's super h*ckin smol, Portable af, Comes with the smol shoe",,"https://twitter.com/dog_rates/status/791312159183634433/photo/1,https://twitter.com/dog_rates/status/791312159183634433/photo/1,https://twitter.com/dog_rates/status/791312159183634433/photo/1,https://twitter.com/dog_rates/status/791312159183634433/photo/1",https://pbs.twimg.com/media/CvtONV4WAAAQ3Rn.jpg
1514,791406955684368384,4617,14306,2016-10-26 22:31:36 +0000,Twitter for iPhone,"Say hello to Levi, He's a Madagascan Butterbop, One of the more docile Butterbops I've seen",,"https://twitter.com/dog_rates/status/791406955684368384/photo/1,https://twitter.com/dog_rates/status/791406955684368384/photo/1,https://twitter.com/dog_rates/status/791406955684368384/photo/1,https://twitter.com/dog_rates/status/791406955684368384/photo/1",https://pbs.twimg.com/media/CvukbEkWAAAV-69.jpg
